conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
"1848012291448647719,Sun Oct 20 22:40:38 +0000 2024,3,@HappyIsNothing_ @gongxifdl @IndraDilianto Baca aturan yg baru itu aturan lama. Skrng tni polri bisa mengisi jabatan sipil tanpa harus mengundurkan diri,1848132245997212134,,HappyIsNothing_,in,""Lampung, Indonesia"",0,2,0,https://x.com/wiraaaaa27/status/1848132245997212134,768305447870738432,wiraaaaa27"
1848120945627758838,Sun Oct 20 21:55:44 +0000 2024,0,Ps Kanit Binmas Polsek Senori Polres Tuban Polda Jatim Menghadiri Kegiatan Pembukaan Kemah Santri MIHM Di Lapangan Desa Medalem @DivHumas_Polri @1polrestuban @PolsekSenori @bidhumas_jatim #polisi #police #polisiviral #polisijatim #polri #polripresisi #polisiindonesia https://t.co/wCz0jAx1DN,1848120945627758838,https://pbs.twimg.com/media/GaXYNF3a0AAQm1B.jpg,,in,,0,0,0,https://x.com/PolsekSenori/status/1848120945627758838,1415071104167604224,PolsekSenori
1848117947228925996,Sun Oct 20 21:43:49 +0000 2024,1,Live report giat Patroli Subuh Piket 10.50 Sat Lantas Prabumulih di Jl. Jend. Sudirman Kota Prabumulih. Senin 21 Oktober 2024. @NTMCLantasPolri @SosmedNtmc @PolisiSumsel @ResPbm @sumsel_polda @Spripim_Polri #kapoldasumsel #kapolresprabumulih https://t.co/fCtKhWrRdB,1848117947228925996,https://pbs.twimg.com/ext_tw_video_thumb/1848117903327162368/pu/img/d08fzW0AyG-xtnVT.jpg,,in,Prabumulih - Sumatera selatan,0,0,0,https://x.com/LantasPBM/status/1848117947228925996,1646982366,LantasPBM
1848117804786200891,Sun Oct 20 21:43:15 +0000 2024,1,Giat Patroli Subuh Piket 10.50 Sat Lantas Prabumulih di Jl. Jend. Sudirman Kota Prabumulih. Senin 21 Oktober 2024. @NTMCLantasPolri @SosmedNtmc @PolisiSumsel @ResPbm @sumsel_polda @Spripim_Polri #kapoldasumsel #kapolresprabumulih https://t.co/DeUzZlK8wr,1848117804786200891,https://pbs.twimg.com/media/GaXVWOLbwAA3bAE.jpg,,in,Prabumulih - Sumatera selatan,0,0,0,https://x.com/LantasPBM/status/1848117804786200891,1646982366,LantasPBM
1848115919442296942,Sun Oct 20 21:35:46 +0000 2024,0,37 Hari menuju pemungutan suara Pilkada Serentak 2024 #ompkuri2024 #pilkada2024 #pilkadadamai #polrihumanis #polripresisi @humas_poldaPB @DivHumas_Polri https://t.co/RNwExKQZAU,1848115919442296942,https://pbs.twimg.com/media/GaXTnxIawAANctv.jpg,,in,,0,0,0,https://x.com/PolresTW/status/1848115919442296942,1468109313977683978,PolresTW
"1848109247005090071,Sun Oct 20 21:09:15 +0000 2024,0,Pak @prabowo Tertibkan pemakaian TOA khususnya di Desa Cimanggis RW05 Bojonggede. Jam 03.20 sudah dipakai utk membangunkan orang. Cc: @nu_online @Banser_CyberNU @DivHumas_Polri @LAPOR1708 @ListyoSigitP @YaqutCQoumas,1848109247005090071,,,in,""-6.49249,106.771072"",0,0,0,https://x.com/samuelmantiri/status/1848109247005090071,100120878,samuelmantiri"
1847847035208352012,Sun Oct 20 20:31:24 +0000 2024,0,@PelatihT1dur @prabowo @DivHumas_Polri @CCICPolri Masuk kepenghinaan?,1848099720851542234,,PelatihT1dur,in,,0,0,0,https://x.com/suryasena53/status/1848099720851542234,1297043782874013696,suryasena53
"1847451375002931449,Sun Oct 20 20:21:33 +0000 2024,0,@TaufiqSobari @prabowo @Puspen_TNI @DivHumas_Polri selamat kan alam Indonesia @KemenLHK,1848097242349232464,,TaufiqSobari,in,""Gresik- Surabaya -Tasikmalaya "",0,0,0,https://x.com/jarotkharisman/status/1848097242349232464,561900545,jarotkharisman"
"1848048401935679819,Sun Oct 20 20:04:27 +0000 2024,0,@CallSayi Akwokaowkaow mampus kau. Karma krna mau ngebunuh bayi ya gitu. @DivHumas_Polri pak tolong usut ini percobaan pembunuhan bayi,1848092941061075089,,,in,""Medan Kota, Indonesia"",0,0,0,https://x.com/ayuditaoye/status/1848092941061075089,1845251493525663744,ayuditaoye"
1847517643978526799,Sun Oct 20 19:54:40 +0000 2024,0,@DivHumas_Polri @BNPTRI Setuju https://t.co/d3dmMiVkBr,1848090476609786067,https://pbs.twimg.com/media/GaW8fnKbAAA-eh9.png,DivHumas_Polri,in,,0,0,0,https://x.com/firmanmamboue17/status/1848090476609786067,1436235349529825291,firmanmamboue17
1848066760089715158,Sun Oct 20 19:44:59 +0000 2024,0,@NataliusPigai2 Menyala . Putera Papua Semoga membawa kebaikan bagi Indonesia dan Papua jangan ada lagi organisasi2 liar yang membahayakan para Masyarakat TNI &amp
1848087388050059565,Sun Oct 20 19:42:23 +0000 2024,0,Bhabinkamtibmas Desa Rancapanggung melaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/j1PE84arby,1848087388050059565,,,in,,0,0,0,https://x.com/polsekcililin/status/1848087388050059565,1366579291249541122,polsekcililin
1848087238971888127,Sun Oct 20 19:41:48 +0000 2024,0,Bhabinkamtibmas Desa Cililin melaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/KsBAwqyVBC,1848087238971888127,,,in,,0,0,0,https://x.com/polsekcililin/status/1848087238971888127,1366579291249541122,polsekcililin
1848087077004710128,Sun Oct 20 19:41:09 +0000 2024,0,Bhabinkamtibmas Desa Cipatik melaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/hh2aE00jDW,1848087077004710128,,,in,,0,0,0,https://x.com/polsekcililin/status/1848087077004710128,1366579291249541122,polsekcililin
1848086933043577187,Sun Oct 20 19:40:35 +0000 2024,0,Bhabinkamtibmas Desa Cipatik melaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/QnYLsb5CpT,1848086933043577187,,,in,,0,0,0,https://x.com/polsekcililin/status/1848086933043577187,1366579291249541122,polsekcililin
1848086791313838147,Sun Oct 20 19:40:01 +0000 2024,0,Bhabinkamtibmas Desa Cililin melaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/VzTPyRQdLO,1848086791313838147,,,in,,0,0,0,https://x.com/polsekcililin/status/1848086791313838147,1366579291249541122,polsekcililin
1848086660707459086,Sun Oct 20 19:39:30 +0000 2024,0,Bhabinkamtibmas Desa Citapen melaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/9s8hitowH0,1848086660707459086,,,in,,0,0,0,https://x.com/polsekcililin/status/1848086660707459086,1366579291249541122,polsekcililin
1848086512782700902,Sun Oct 20 19:38:55 +0000 2024,0,Bhabinkamtibmas Desa Batulayang melaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/Ezm06kpReG,1848086512782700902,,,in,,0,0,0,https://x.com/polsekcililin/status/1848086512782700902,1366579291249541122,polsekcililin
